Model,Parameters,PreTraining_Steps,FineTuning_Steps,Min_Eval_Loss,Epochs
pythia,410000000,8000,16,2.846749782562256,18.0
pythia,1000000000,8000,128,2.2799768447875977,10.0
pythia,70000000,8000,8,3.4871511459350586,74.0
pythia,70000000,8000,4,3.611241579055786,84.0
pythia,410000000,8000,8,2.9791688919067383,22.0
pythia,410000000,8000,128,2.3654158115386963,13.0
pythia,1400000000,8000,16,2.680772542953491,12.0
pythia,1000000000,8000,32,2.620311737060547,12.0
pythia,410000000,8000,2,3.17032790184021,38.0
pythia,1000000000,8000,4,2.973489761352539,22.0
pythia,410000000,8000,512,2.0515785217285156,10.0
pythia,160000000,8000,512,2.1805014610290527,18.0
pythia,1400000000,8000,64,2.388557195663452,9.0
pythia,1000000000,8000,512,1.9780454635620117,8.0
pythia,70000000,8000,512,2.337345838546753,43.0
pythia,160000000,8000,4,3.277026414871216,51.0
pythia,410000000,8000,256,2.2069222927093506,11.0
pythia,160000000,8000,32,2.904252052307129,28.0
pythia,1400000000,8000,128,2.2170119285583496,8.0
pythia,1400000000,8000,512,1.9243823289871216,7.0
pythia,160000000,8000,16,3.0431649684906006,33.0
pythia,70000000,8000,64,2.9236514568328857,61.0
pythia,1400000000,8000,4,2.8993308544158936,19.0
pythia,1000000000,8000,2,3.053938865661621,29.0
pythia,70000000,8000,256,2.502277374267578,48.0
pythia,160000000,8000,2,3.359323263168335,62.0
pythia,160000000,8000,8,3.1733250617980957,40.0
pythia,1000000000,8000,256,2.123598575592041,9.0
pythia,410000000,8000,64,2.5442399978637695,14.0
pythia,1400000000,8000,256,2.064922332763672,7.0
pythia,1000000000,8000,8,2.87161922454834,17.0
pythia,160000000,8000,128,2.5182502269744873,23.0
pythia,160000000,8000,256,2.3453078269958496,20.0
pythia,1000000000,8000,64,2.451125383377075,11.0
pythia,70000000,8000,32,3.1588170528411865,66.0
pythia,70000000,8000,128,2.6945910453796387,56.0
pythia,410000000,8000,4,3.0810136795043945,30.0
pythia,410000000,8000,32,2.7149646282196045,15.0
pythia,1400000000,8000,32,2.551525592803955,10.0
pythia,1400000000,8000,8,2.804666519165039,15.0
pythia,1000000000,8000,16,2.750523805618286,14.0
pythia,1400000000,8000,2,2.977097749710083,25.0
pythia,70000000,8000,2,3.702751874923706,105.0
pythia,160000000,8000,64,2.7112536430358887,27.0
pythia,70000000,8000,16,3.3393173217773438,70.0
pythia,160000000,128000,4,3.144184112548828,20.0
pythia,410000000,128000,512,1.8833054304122925,7.0
pythia,410000000,128000,32,2.5094878673553467,9.0
pythia,1000000000,128000,8,2.630133628845215,10.0
pythia,70000000,128000,512,2.4096264839172363,17.0
pythia,1400000000,128000,2,2.7252471446990967,13.0
pythia,160000000,128000,128,2.4235260486602783,11.0
pythia,160000000,128000,512,2.1232407093048096,11.0
pythia,410000000,128000,4,2.826975107192993,13.0
pythia,160000000,128000,8,3.0471200942993164,16.0
pythia,1400000000,128000,8,2.5746681690216064,8.0
pythia,160000000,128000,64,2.6052446365356445,12.0
pythia,70000000,128000,32,3.0880203247070312,19.0
pythia,160000000,128000,2,3.2186946868896484,25.0
pythia,410000000,128000,64,2.337765693664551,9.0
pythia,1400000000,128000,32,2.3439152240753174,7.0
pythia,70000000,128000,2,3.60003924369812,40.0
pythia,1000000000,128000,4,2.718626022338867,12.0
pythia,70000000,128000,16,3.2351391315460205,21.0
pythia,70000000,128000,64,2.9129278659820557,18.0
pythia,1400000000,128000,64,2.170290946960449,7.0
pythia,70000000,128000,128,2.736154556274414,16.0
pythia,70000000,128000,4,3.499620199203491,31.0
pythia,160000000,128000,256,2.2670934200286865,11.0
pythia,160000000,128000,16,2.9299778938293457,13.0
pythia,1000000000,128000,32,2.385664224624634,8.0
pythia,1400000000,128000,16,2.4653098583221436,7.0
pythia,1000000000,128000,256,1.915303111076355,7.0
pythia,410000000,128000,2,2.8991036415100098,16.0
